#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-27T22:36:49 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f44b552540 
#INFO -out.max=99999 
#INFO queryParameters=11 
#-oc.form=sexa
#-out.max=99999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/632/266&tab:{J/ApJ/632/266/table2}&key:source=J/ApJ/632/266&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/ApJ/632/266/table2
#-order=I
#-out=Vmag
#-out=Imag
#-out=Class
#

#RESOURCE=yCat_16320266
#Name: J/ApJ/632/266
#Title: WFPC2 photometry of the globular cluster M5 (Layden+, 2005)
#Table J_ApJ_632_266_table2:
#Name: J/ApJ/632/266/table2
#Title: WFPC2 photometry
#---Details of Columns:
    Vmag (mag) (F6.3)  HST/WFPC2 F555W V band magnitude [ucd=phot.mag;em.opt.V]
    Imag (mag) (F6.3)  HST/WFPC2 F814W I band magnitude [ucd=phot.mag;em.opt.I]
    Class      (F5.2)  SExtractor class indicator of object (5) [ucd=meta.code.class]
------ ------ -----
Vmag   Imag        
(mag)  (mag)  Class
------ ------ -----
24.885 23.162  0.62
24.873 22.177  0.03
22.112 20.858  0.98
22.939 21.517  0.93
21.404 20.357  1.00
21.356 20.383  1.00
24.121 22.426  0.96
25.375 23.621  0.96
22.051 20.879  1.00
25.136 23.250  0.95
23.514 21.963  0.84
25.867 23.862  0.99
25.103 23.230  0.69
24.770 23.108  1.00
25.264 23.421  1.00
24.150 22.618  0.13
20.813 19.908  0.98
18.872 18.276  0.99
19.590 18.796  1.00
20.306 19.492  1.00
25.144 23.288  0.98
25.206 23.368  0.98
25.016 23.070  1.00
25.800 23.790  1.00
21.163 20.203  1.00
23.855 22.169  0.97
23.761 22.179  0.92
25.681 23.690  0.97
22.763 21.298  0.95
26.789 26.646  0.26
27.168 26.249  0.25
23.075 21.658  1.00
24.227 22.464  0.98
23.204 21.650  0.99
26.102 24.060  1.00
23.581 22.048  0.22
21.979 20.777  1.00
20.380 19.516  1.00
22.979 21.525  0.98
22.740 21.338  0.98
25.956 23.903  0.99
25.587 23.800  0.02
24.933 23.109  1.00
25.879 23.976  0.29
26.984 26.696  0.00
24.470 22.838  0.14
24.947 23.074  0.98
20.804 19.912  1.00
27.549 26.551  0.19
24.405 22.831  0.03
19.041 18.421  1.00
23.486 21.938  0.98
23.640 22.186  1.00
24.549 22.783  1.00
24.212 22.475  0.97
25.129 24.565  0.02
26.591 23.871  0.00
23.900 22.222  0.98
23.633 22.038  1.00
27.663 26.596  0.08
24.303 22.562  0.83
25.190 23.217  0.98
18.805 18.141  0.98
20.436 19.615  1.00
25.078 23.213  1.00
18.548 17.907  1.00
21.329 20.333  0.98
23.367 21.796  0.98
23.251 21.694  0.99
22.221 20.905  1.00
27.191 27.569  0.10
21.455 20.427  1.00
19.461 18.749  1.00
26.936 24.636  0.00
21.380 20.370  0.98
23.191 21.700  0.47
19.826 19.082  1.00
22.166 20.918  0.98
19.199 18.554  1.00
20.155 19.396  1.00
21.827 20.671  1.00
19.471 18.666  1.00
22.143 20.850  1.00
22.517 21.189  0.98
25.078 24.769  0.50
21.115 20.150  0.98
24.773 22.962  1.00
20.648 19.761  0.98
27.469 25.255  0.83
24.007 22.438  0.98
22.287 21.001  0.98
26.444 24.300  0.55
24.368 22.615  1.00
21.470 20.420  0.98
20.344 19.529  1.00
24.842 22.973  0.98
23.967 22.139  1.00
26.394 24.138  0.97
20.060 19.287  1.00
22.309 21.038  0.98
23.137 21.618  0.95
25.249 23.389  1.00
26.468 26.287  0.00
21.379 20.359  0.98
23.936 22.286  0.99
23.864 22.249  0.97
25.636 23.680  0.99
22.967 21.492  0.98
26.980 26.835  0.00
24.179 22.475  0.95
22.434 21.130  1.00
24.981 23.009  0.95
23.487 22.032  0.03
22.839 21.421  0.99
