C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
----	----------	------	-------------------	---------------	------	------	------
1   	  33976.51	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2   	   2851.16	   100	2007ApJS..172..663S	B              	     ~	15.92 	13.69 
3   	  23070.75	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
4   	   3117.53	   100	2007ApJS..172..663S	B              	     ~	     ~	14.96 
5   	   2437.16	   100	2007ApJS..172..663S	B              	     ~	17.11 	14.32 
6   	  21830.50	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
7   	    873.88	   100	2007ApJS..172..663S	B              	13.31 	12.16 	10.97 
8   	   6966.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
9   	  10608.84	   100	2007ApJS..172..663S	B              	     ~	     ~	15.28 
10  	   1534.21	     0	2010MNRAS.408..475H	B              	17.71 	15.94 	     ~
11  	  14985.75	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
12  	   2894.80	   100	2007ApJS..172..663S	B              	     ~	20.00 	15.90 
13  	  24221.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
14  	  13198.86	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
15  	  12462.83	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
16  	   5744.87	   100	2007ApJS..172..663S	B              	     ~	18.30 	15.30 
17  	   8094.44	   100	2007ApJS..172..663S	B              	     ~	16.70 	14.00 
18  	  11699.85	   100	2007ApJS..172..663S	B              	     ~	     ~	14.49 
19  	  12124.23	   100	2007ApJS..172..663S	B              	     ~	     ~	15.69 
20  	   5695.39	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
21  	  19073.28	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
