#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-29T05:38:46 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f5e9e84e90 
#INFO -out.max=9999 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/484/609&tab:{J/A+A/484/609/catalog}&key:source=J/A+A/484/609&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/484/609/catalog
#-order=I
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Pmb
#

#RESOURCE=yCat_34840609
#Name: J/A+A/484/609
#Title: BVI photometry and proper motions in M67 (Yadav+, 2008)
#Table J_A_A_484_609_catalog:
#Name: J/A+A/484/609/catalog
#Title: M67 catalog
#---Details of Columns:
    _RAJ2000 ("h:m:s") (A12)   Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
    _DEJ2000 ("d:m:s") (A12)   Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
    Bmag (mag)         (F6.3)  ? Johnson B magnitude [ucd=phot.mag;em.opt.B]
    Vmag (mag)         (F6.3)  ? Johnson V magnitude [ucd=phot.mag;em.opt.V]
    Icmag (mag)        (F6.3)  ? Cousins I magnitude [ucd=phot.mag;em.opt.I]
    Pmb                (I3)    Proper-motion membership probability [ucd=stat.probability]
------------ ------------ ------ ------ ------ ---
_RAJ20       _DEJ20       Bmag   Vmag   Icmag     
00 ("h:m:s") 00 ("d:m:s") (mag)  (mag)  (mag)  Pmb
------------ ------------ ------ ------ ------ ---
08 51 35.476 +11 34 32.15        16.064         95
08 51 28.197 +11 34 35.38        20.236         39
08 52 22.200 +11 34 36.13        21.698         29
08 51 29.804 +11 34 38.91        18.996          2
08 52 22.508 +11 34 39.40        21.452          2
08 51 05.577 +11 34 42.93        17.234          0
08 50 27.365 +11 34 43.10        18.647         28
08 52 08.463 +11 34 44.81        20.867          7
08 51 47.908 +11 34 45.54        15.411          0
08 51 19.050 +11 34 46.27        19.515          0
08 51 07.588 +11 34 45.97        20.963          3
08 51 02.629 +11 34 46.95        15.948          0
08 50 24.784 +11 34 47.74        21.925          1
08 51 18.403 +11 34 49.35        21.020          3
08 51 23.956 +11 34 50.35        15.516          1
08 51 18.960 +11 34 51.25        19.903         10
08 51 22.373 +11 34 54.18        20.316          6
08 51 27.906 +11 34 57.30        16.339         50
08 50 57.476 +11 34 57.41        17.025          0
08 50 32.569 +11 34 57.02        20.996         43
08 50 25.295 +11 35 00.43        15.877          0
08 51 11.271 +11 35 02.12        21.123          8
08 52 15.892 +11 35 04.46        21.398          7
08 51 21.378 +11 35 04.05        18.933          0
08 51 10.833 +11 35 05.36        17.190          0
08 50 32.952 +11 35 07.00        21.392         24
08 51 24.233 +11 35 08.72        17.773          0
08 50 26.058 +11 35 08.31        21.276          0
08 51 29.932 +11 35 11.14        14.332         99
08 51 13.742 +11 35 10.74        18.592          0
08 52 22.668 +11 35 13.57        19.853          1
08 50 57.860 +11 35 14.79        15.516          0
08 51 08.383 +11 35 16.45        20.593          0
08 52 11.902 +11 35 17.38        20.576          1
08 51 18.859 +11 35 17.65        17.435          4
08 50 54.760 +11 35 18.82        18.137          0
08 52 18.076 +11 35 23.39        19.288          4
08 51 04.616 +11 35 23.81        20.399          2
08 51 46.243 +11 35 25.24        20.317          9
